Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-eskimo-inheritancetobothsex.restricted.bttrees
Data File Name:                  ./data/austronesian-eskimo-inheritancetobothsex.restricted.btdata
Log File Name:                   ./output/austronesian-eskimo-inheritancetobothsex.restricted-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2741302988
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-eskimo-inheritancetobothsex.restricted-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.640000,0.160000,0.060000,0.140000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000074
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       50
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
32000	-50.673636	652	1	1	'0 Z 0 0 0 0 0 0 	D	3.065884	0.000000	3.065884	3.065884	3.065884	3.065884	3.065884	3.065884	0.787120	0.115618	0.059973	0.037288	
33000	-49.720238	944	1	3	'0 Z 0 0 Z Z 0 0 	D	2.586776	0.000000	2.586776	2.586776	0.000000	0.000000	2.586776	2.586776	0.880381	0.114096	0.000000	0.005523	
34000	-51.350411	538	1	1	'0 Z 0 0 0 0 0 0 	D	5.578962	0.000000	5.578962	5.578962	5.578962	5.578962	5.578962	5.578962	0.781893	0.115339	0.054449	0.048319	
35000	-50.709401	448	1	1	'0 Z 0 0 0 0 0 0 	D	4.493451	0.000000	4.493451	4.493451	4.493451	4.493451	4.493451	4.493451	0.760671	0.120171	0.053071	0.066087	
36000	-50.962258	438	1	3	'0 Z 0 0 Z Z 0 0 	D	3.443041	0.000000	3.443041	3.443041	0.000000	0.000000	3.443041	3.443041	0.907239	0.085769	0.000000	0.006992	
37000	-50.628812	240	1	1	'0 Z 0 0 0 0 0 0 	D	2.742004	0.000000	2.742004	2.742004	2.742004	2.742004	2.742004	2.742004	0.743875	0.135699	0.070029	0.050397	
38000	-55.271450	3	1	4	'0 Z Z 0 Z Z 0 0 	D	2.175596	0.000000	0.000000	2.175596	0.000000	0.000000	2.175596	2.175596	1.000000	0.000000	0.000000	0.000000	
39000	-50.550964	227	1	3	'0 Z 0 0 Z Z 0 0 	D	3.027935	0.000000	3.027935	3.027935	0.000000	0.000000	3.027935	3.027935	0.878683	0.113665	0.000000	0.007652	
40000	-50.263758	153	1	2	'0 Z 0 0 Z 0 0 0 	D	3.950458	0.000000	3.950458	3.950458	0.000000	3.950458	3.950458	3.950458	0.898664	0.090802	0.000304	0.010230	
41000	-51.142849	33	1	2	'0 Z 0 0 0 0 Z 0 	D	2.941753	0.000000	2.941753	2.941753	2.941753	2.941753	0.000000	2.941753	0.891558	0.077094	0.028405	0.002942	
