Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-iroquois-polygyny.bttrees
Data File Name:                  ./data/austronesian-iroquois-polygyny.btdata
Log File Name:                   ./output/austronesian-iroquois-polygyny-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            137067443
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-iroquois-polygyny-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.262500,0.587500,0.025000,0.125000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000086
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       80
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
32000	-71.352886	133	1	1	'0 Z 0 0 0 0 0 0 	D	1.215101	0.000000	1.215101	1.215101	1.215101	1.215101	1.215101	1.215101	0.530568	0.467314	0.000637	0.001481	
33000	-71.539245	386	1	4	'0 Z 0 0 Z Z Z 0 	D	1.224574	0.000000	1.224574	1.224574	0.000000	0.000000	0.000000	1.224574	0.578848	0.421152	0.000000	0.000000	
34000	-71.987488	668	1	4	'0 Z 0 0 Z Z Z 0 	D	1.343946	0.000000	1.343946	1.343946	0.000000	0.000000	0.000000	1.343946	0.565611	0.434389	0.000000	0.000000	
35000	-70.399402	245	1	2	'0 Z 0 0 Z 0 0 0 	D	1.455282	0.000000	1.455282	1.455282	0.000000	1.455282	1.455282	1.455282	0.385501	0.612291	0.000003	0.002205	
36000	-73.370678	907	1	2	'0 Z 0 0 Z 0 0 0 	D	1.362089	0.000000	1.362089	1.362089	0.000000	1.362089	1.362089	1.362089	0.502580	0.497091	0.000000	0.000329	
37000	-74.193926	710	1	3	'0 0 0 0 0 Z Z Z 	D	1.158542	1.158542	1.158542	1.158542	1.158542	0.000000	0.000000	0.000000	0.475247	0.522956	0.001796	0.000000	
38000	-70.473798	2	1	3	'0 Z 0 0 Z Z 0 0 	D	0.909685	0.000000	0.909685	0.909685	0.000000	0.000000	0.909685	0.909685	0.411843	0.588065	0.000000	0.000092	
39000	-72.430688	385	1	2	'0 Z 0 0 0 0 Z 0 	D	0.722564	0.000000	0.722564	0.722564	0.722564	0.722564	0.000000	0.722564	0.740596	0.259264	0.000140	0.000000	
40000	-73.146249	334	1	1	'0 Z 0 0 0 0 0 0 	D	0.662547	0.000000	0.662547	0.662547	0.662547	0.662547	0.662547	0.662547	0.807112	0.192814	0.000045	0.000029	
41000	-70.840707	339	1	1	'0 Z 0 0 0 0 0 0 	D	0.872972	0.000000	0.872972	0.872972	0.872972	0.872972	0.872972	0.872972	0.489066	0.510767	0.000046	0.000121	
42000	-71.607320	858	1	2	'0 Z 0 0 0 0 Z 0 	D	0.865232	0.000000	0.865232	0.865232	0.865232	0.865232	0.000000	0.865232	0.600779	0.399076	0.000144	0.000001	
43000	-73.588365	140	1	3	'Z Z 0 0 Z 0 0 0 	D	0.000000	0.000000	1.727855	1.727855	0.000000	1.727855	1.727855	1.727855	0.000000	0.995322	0.000009	0.004669	
44000	-70.772628	287	1	3	'Z Z 0 0 Z 0 0 0 	D	0.000000	0.000000	0.997105	0.997105	0.000000	0.997105	0.997105	0.997105	0.000000	0.999917	0.000000	0.000083	
45000	-70.342179	507	1	4	'0 Z 0 0 Z Z Z 0 	D	1.065555	0.000000	1.065555	1.065555	0.000000	0.000000	0.000000	1.065555	0.638068	0.361932	0.000000	0.000000	
46000	-70.331683	310	1	3	'0 Z 0 0 Z Z 0 0 	D	0.930398	0.000000	0.930398	0.930398	0.000000	0.000000	0.930398	0.930398	0.578364	0.421457	0.000000	0.000180	
47000	-70.728587	313	1	3	'0 Z 0 0 Z Z 0 0 	D	1.209636	0.000000	1.209636	1.209636	0.000000	0.000000	1.209636	1.209636	0.604284	0.395490	0.000000	0.000227	
48000	-71.512355	161	1	3	'Z Z 0 0 Z 0 0 0 	D	0.000000	0.000000	1.432921	1.432921	0.000000	1.432921	1.432921	1.432921	0.000000	0.997722	0.000002	0.002276	
49000	-71.815903	595	1	1	'0 Z 0 0 0 0 0 0 	D	0.932922	0.000000	0.932922	0.932922	0.932922	0.932922	0.932922	0.932922	0.647946	0.351872	0.000070	0.000113	
50000	-70.478173	807	1	1	'0 Z 0 0 0 0 0 0 	D	1.197508	0.000000	1.197508	1.197508	1.197508	1.197508	1.197508	1.197508	0.585732	0.413040	0.000397	0.000831	
51000	-72.001746	232	1	1	'0 Z 0 0 0 0 0 0 	D	0.954601	0.000000	0.954601	0.954601	0.954601	0.954601	0.954601	0.954601	0.486033	0.513115	0.000226	0.000626	
52000	-71.271952	944	1	2	'0 Z 0 0 0 0 Z 0 	D	1.411816	0.000000	1.411816	1.411816	1.411816	1.411816	0.000000	1.411816	0.595025	0.404685	0.000288	0.000002	
53000	-72.582175	849	1	3	'Z Z 0 0 Z 0 0 0 	D	0.000000	0.000000	1.349544	1.349544	0.000000	1.349544	1.349544	1.349544	0.000000	0.998167	0.000001	0.001832	
54000	-70.282150	489	1	4	'0 Z 0 0 Z Z Z 0 	D	0.970123	0.000000	0.970123	0.970123	0.000000	0.000000	0.000000	0.970123	0.659788	0.340212	0.000000	0.000000	
55000	-71.512114	557	1	3	'0 Z 0 0 Z Z 0 0 	D	1.028333	0.000000	1.028333	1.028333	0.000000	0.000000	1.028333	1.028333	0.644070	0.355713	0.000000	0.000217	
56000	-71.280524	374	1	4	'0 Z 0 0 Z Z Z 0 	D	1.050765	0.000000	1.050765	1.050765	0.000000	0.000000	0.000000	1.050765	0.679534	0.320466	0.000000	0.000000	
57000	-70.313766	817	1	3	'Z Z 0 0 Z 0 0 0 	D	0.000000	0.000000	1.054573	1.054573	0.000000	1.054573	1.054573	1.054573	0.000000	0.999509	0.000000	0.000491	
58000	-71.645596	761	1	3	'Z Z 0 0 Z 0 0 0 	D	0.000000	0.000000	1.195509	1.195509	0.000000	1.195509	1.195509	1.195509	0.000000	0.999059	0.000000	0.000941	
59000	-74.849296	757	1	1	'0 0 0 0 0 0 0 Z 	D	0.955333	0.955333	0.955333	0.955333	0.955333	0.955333	0.955333	0.000000	0.456978	0.542733	0.000155	0.000134	
60000	-73.336907	474	1	2	'0 Z 0 0 0 0 Z 0 	D	1.750651	0.000000	1.750651	1.750651	1.750651	1.750651	0.000000	1.750651	0.532957	0.462613	0.003794	0.000635	
61000	-71.706198	550	1	3	'0 Z 0 0 Z Z 0 0 	D	1.365046	0.000000	1.365046	1.365046	0.000000	0.000000	1.365046	1.365046	0.554414	0.444818	0.000000	0.000769	
62000	-70.879764	901	1	4	'0 Z 0 0 Z Z Z 0 	D	1.154403	0.000000	1.154403	1.154403	0.000000	0.000000	0.000000	1.154403	0.609649	0.390351	0.000000	0.000000	
63000	-71.256538	4	1	3	'0 Z 0 0 Z Z 0 0 	D	1.078647	0.000000	1.078647	1.078647	0.000000	0.000000	1.078647	1.078647	0.610255	0.389682	0.000000	0.000063	
64000	-71.828950	794	1	1	'0 Z 0 0 0 0 0 0 	D	1.410173	0.000000	1.410173	1.410173	1.410173	1.410173	1.410173	1.410173	0.486371	0.511592	0.000488	0.001549	
65000	-71.473549	771	1	2	'0 Z 0 0 Z 0 0 0 	D	1.316624	0.000000	1.316624	1.316624	0.000000	1.316624	1.316624	1.316624	0.514869	0.484849	0.000000	0.000282	
