Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.bttrees
Data File Name:                  ./data/bantu-iroquois-cross.cousinmarriage.preferred.btdata
Log File Name:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-3ANCrecon-dep1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2950466201
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Schedule File:                   ./output/bantu-iroquois-cross.cousinmarriage.preferred-3ANCrecon-dep1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.242424,0.121212,0.121212,0.515152)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	5
	ANC5	2	R11_Umbundu G61_Sangu 
	ANC4	2	JD53_Shi G61_Sangu 
	ANC3	2	L11_Pende G61_Sangu 
	ANC2	2	C83_Bushong G61_Sangu 
	ANC1	2	C41_Ngombe G61_Sangu 
Scale Tree:                      0.101827
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - exp 10.00 
        q13 - exp 10.00 
        q21 - exp 10.00 
        q24 - exp 10.00 
        q31 - exp 10.00 
        q34 - exp 10.00 
        q42 - exp 10.00 
        q43 - exp 10.00 
Node reconstruction / fossilisation:
	MRCA RecNodeUmbundu ANC5
	MRCA RecNodeShi ANC4
	MRCA RecNodePende ANC3
	MRCA RecNodeBushong ANC2
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RecNodeUmbundu - P(0,0)	RecNodeUmbundu - P(0,1)	RecNodeUmbundu - P(1,0)	RecNodeUmbundu - P(1,1)	RecNodeShi - P(0,0)	RecNodeShi - P(0,1)	RecNodeShi - P(1,0)	RecNodeShi - P(1,1)	RecNodePende - P(0,0)	RecNodePende - P(0,1)	RecNodePende - P(1,0)	RecNodePende - P(1,1)	RecNodeBushong - P(0,0)	RecNodeBushong - P(0,1)	RecNodeBushong - P(1,0)	RecNodeBushong - P(1,1)	
2637000	-77.946254	110	1.795516	3.459253	8.741965	3.696206	6.563929	11.062895	3.031885	1.019193	0.245206	0.122249	0.121181	0.511365	0.009301	0.010505	0.102732	0.877462	0.010657	0.011447	0.101249	0.876647	0.069072	0.052316	0.131863	0.746749	0.121602	0.081224	0.147665	0.649510	
2638000	-77.048620	281	3.405922	3.051227	12.870183	35.088376	4.070148	13.073022	6.889294	1.314329	0.252365	0.120953	0.120493	0.506189	0.066174	0.114601	0.151326	0.667899	0.063618	0.114079	0.150008	0.672294	0.115419	0.122948	0.137249	0.624383	0.245560	0.128880	0.128952	0.496608	
2639000	-77.614921	473	7.031456	5.118530	4.653363	12.666786	25.154079	2.002348	1.524875	4.252499	0.240817	0.121814	0.120065	0.517304	0.122164	0.157374	0.045922	0.674540	0.096490	0.161753	0.034124	0.707633	0.112924	0.157501	0.041771	0.687805	0.150377	0.146785	0.060754	0.642083	
2640000	-73.561073	334	7.888933	0.219665	25.888458	2.852704	2.114210	19.315636	1.513807	3.826533	0.229408	0.116691	0.124749	0.529152	0.000208	0.001234	0.178522	0.820036	0.001197	0.003232	0.178504	0.817067	0.002476	0.006127	0.180026	0.811372	0.031999	0.054494	0.181883	0.731623	
2641000	-76.797133	245	5.909804	2.864085	13.566478	0.073924	7.315436	25.337908	1.818563	6.679933	0.211229	0.101074	0.128030	0.559667	0.007022	0.000611	0.141894	0.850473	0.007598	0.000624	0.140783	0.850996	0.014757	0.001534	0.146755	0.836954	0.054683	0.007957	0.168319	0.769040	
2642000	-77.947022	651	3.016824	0.878834	16.261751	18.387018	3.842372	13.438494	6.046874	5.693641	0.217086	0.118787	0.125612	0.538515	0.014063	0.069383	0.154961	0.761593	0.011300	0.064325	0.156361	0.768014	0.018945	0.075688	0.156746	0.748621	0.064110	0.117460	0.152426	0.666003	
2643000	-76.490327	135	0.925810	3.025238	8.281199	18.202933	2.996769	15.087159	8.468204	2.875227	0.247747	0.121224	0.120308	0.510722	0.034930	0.102312	0.159966	0.702792	0.040715	0.104482	0.159832	0.694971	0.064352	0.113004	0.154407	0.668238	0.176593	0.130035	0.134302	0.559070	
2644000	-76.693961	568	1.498940	6.964943	0.690573	10.592901	28.767452	0.412003	2.604341	2.506876	0.237552	0.121508	0.118560	0.522380	0.001104	0.221743	0.000203	0.776951	0.002962	0.233392	0.000565	0.763081	0.006053	0.230964	0.001322	0.761661	0.090626	0.151460	0.028761	0.729153	
2645000	-75.117211	213	0.871038	2.623737	9.330785	3.800376	10.638233	4.973530	1.739277	1.160155	0.210437	0.116642	0.117311	0.555610	0.000633	0.009699	0.014087	0.975580	0.001040	0.011150	0.016369	0.971440	0.001615	0.014909	0.020626	0.962849	0.019946	0.078196	0.098264	0.803594	
2646000	-77.579082	592	4.031927	3.635320	7.181497	5.916983	4.998277	14.216194	3.553720	2.255214	0.247778	0.122665	0.120503	0.509053	0.042423	0.042480	0.160137	0.754961	0.064106	0.052934	0.150229	0.732730	0.081612	0.062689	0.147963	0.707736	0.178544	0.103272	0.144033	0.574151	
2647000	-78.156838	995	1.010315	8.206554	21.150473	2.798160	9.332452	32.215149	3.534115	3.213531	0.242310	0.121123	0.121240	0.515328	0.158242	0.064232	0.138291	0.639236	0.170159	0.071280	0.136342	0.622220	0.189960	0.083701	0.132741	0.593599	0.219206	0.103561	0.126829	0.550404	
2648000	-79.440248	916	13.081475	3.584134	16.887079	12.110116	8.298986	10.681801	4.876786	5.591852	0.241506	0.120995	0.121191	0.516308	0.153634	0.099023	0.115664	0.631678	0.160318	0.100201	0.116068	0.623413	0.169131	0.102849	0.116876	0.611145	0.190180	0.109372	0.118889	0.581560	
2649000	-76.587721	429	4.806273	1.880004	4.524321	9.262683	14.740124	5.994709	1.489082	4.895191	0.239648	0.121843	0.120080	0.518429	0.045930	0.144275	0.034794	0.775001	0.035890	0.134944	0.029297	0.799869	0.070668	0.137761	0.049835	0.741735	0.129286	0.134165	0.079516	0.657033	
2650000	-78.786360	460	10.107127	1.269193	26.331156	1.704127	12.528748	5.325200	3.245101	0.798415	0.174333	0.089566	0.108381	0.627720	0.000102	0.000422	0.007625	0.991852	0.000341	0.001236	0.011418	0.987005	0.001364	0.002683	0.020833	0.975120	0.020664	0.024022	0.076267	0.879046	
2651000	-73.405133	782	4.139769	1.123449	16.985682	5.226299	5.050321	5.074580	1.893523	1.905568	0.225077	0.116150	0.122324	0.536450	0.000814	0.007942	0.027366	0.963878	0.000534	0.006312	0.025180	0.967974	0.006190	0.023655	0.047325	0.922830	0.044822	0.092297	0.100103	0.762777	
2652000	-75.359407	982	1.555619	0.863057	9.215817	33.558026	2.793022	8.603801	5.996577	2.129105	0.321150	0.115519	0.114227	0.449104	0.001825	0.109547	0.097165	0.791462	0.004837	0.116559	0.101701	0.776903	0.016425	0.129864	0.109968	0.743743	0.126243	0.197516	0.138422	0.537820	
2653000	-76.274802	662	6.065725	5.045290	7.234401	24.345217	10.494136	7.133524	8.185439	2.121554	0.243953	0.120984	0.121787	0.513275	0.136349	0.135610	0.080441	0.647601	0.150621	0.133708	0.086108	0.629562	0.171092	0.131589	0.094154	0.603164	0.227958	0.124789	0.117019	0.530234	
2654000	-81.389088	686	10.539608	1.532937	20.032454	1.201346	7.982668	45.346220	2.805547	2.650810	0.189933	0.094663	0.133171	0.582232	0.006833	0.003222	0.160857	0.829088	0.003239	0.001519	0.157884	0.837358	0.021828	0.010423	0.171283	0.796466	0.036057	0.017110	0.179369	0.767465	
2655000	-74.914907	125	1.795228	2.009030	10.388232	6.692801	1.196481	18.712016	3.669675	1.952651	0.259303	0.125850	0.116226	0.498621	0.006103	0.016031	0.222177	0.755689	0.017166	0.026896	0.214431	0.741507	0.076257	0.069333	0.177298	0.677112	0.152941	0.111038	0.141425	0.594596	
2656000	-73.895082	931	0.385238	0.735320	6.849845	1.588931	3.219470	6.307708	0.936240	1.408307	0.370746	0.184281	0.111266	0.333707	0.000013	0.000284	0.033469	0.966234	0.000082	0.000917	0.040348	0.958653	0.006033	0.022976	0.099793	0.871199	0.071818	0.118535	0.220539	0.589108	
2657000	-76.490138	131	5.406417	0.434273	5.943605	30.048279	14.268691	0.364700	6.629265	1.966543	0.242396	0.121287	0.120887	0.515429	0.073312	0.158948	0.013249	0.754492	0.069055	0.158998	0.011915	0.760032	0.100389	0.156226	0.021698	0.721687	0.164626	0.146701	0.048542	0.640130	
2658000	-78.972767	29	3.932269	2.024869	1.065173	36.370577	25.101715	10.398901	10.084454	6.109789	0.237868	0.122639	0.119650	0.519842	0.087786	0.175165	0.061104	0.675945	0.092220	0.173163	0.063408	0.671209	0.113534	0.164259	0.073442	0.648766	0.154609	0.147775	0.092134	0.605481	
2659000	-78.044636	872	11.146496	7.888278	17.217722	13.196065	19.140697	1.550497	1.551324	2.796555	0.240406	0.120987	0.119921	0.518686	0.124045	0.103597	0.048981	0.723377	0.093237	0.092635	0.035875	0.778253	0.114538	0.100356	0.046299	0.738808	0.160318	0.114966	0.069694	0.655021	
2660000	-76.733988	454	1.923180	1.768098	5.793974	17.391563	6.346055	2.537366	4.550098	0.747768	0.309868	0.111995	0.146976	0.431161	0.006992	0.137416	0.008101	0.847491	0.008519	0.127889	0.010979	0.852614	0.049562	0.159724	0.041270	0.749443	0.135343	0.188874	0.087312	0.588471	
2661000	-75.532505	829	10.330316	1.740089	33.128661	6.383331	0.307981	10.851351	2.681069	1.919009	0.254830	0.126588	0.115519	0.503063	0.026132	0.022052	0.219092	0.732723	0.013911	0.012831	0.263406	0.709852	0.025393	0.020629	0.240032	0.713945	0.142967	0.090878	0.139047	0.627107	
2662000	-80.259693	785	5.851480	1.136041	7.890768	11.343353	2.578676	28.157619	7.672530	4.645323	0.240995	0.121100	0.121520	0.516385	0.037834	0.077000	0.177759	0.707407	0.033769	0.073581	0.180152	0.712499	0.068041	0.091970	0.166841	0.673148	0.140872	0.116317	0.145078	0.597733	
2663000	-78.795726	727	8.046311	10.540662	12.585217	4.434093	8.046785	4.096887	2.393296	1.582323	0.236248	0.118878	0.119175	0.525698	0.030291	0.029921	0.030336	0.909452	0.029223	0.029268	0.031374	0.910134	0.060312	0.048230	0.051045	0.840413	0.104813	0.076449	0.077467	0.741271	
2664000	-75.630792	499	7.540576	1.103708	20.898836	1.949240	3.676388	10.900822	4.077249	2.426518	0.191826	0.097252	0.136088	0.574833	0.001285	0.001145	0.194058	0.803512	0.004987	0.003773	0.197714	0.793526	0.010397	0.007299	0.192976	0.789328	0.037453	0.024389	0.181896	0.756263	
2665000	-74.764680	478	3.644477	0.255990	8.598827	3.311976	0.004989	19.980829	3.156897	3.781364	0.226147	0.120003	0.123992	0.529857	0.000080	0.001429	0.267328	0.731162	0.001165	0.006339	0.255160	0.737336	0.002810	0.011630	0.238627	0.746934	0.033331	0.071564	0.154902	0.740204	
2666000	-79.191601	539	2.180715	1.285897	5.710999	30.618716	5.473207	10.557771	18.902273	3.819681	0.232140	0.122591	0.121642	0.523627	0.012847	0.150252	0.085294	0.751607	0.010469	0.149083	0.082487	0.757962	0.018118	0.151259	0.088635	0.741988	0.083244	0.154959	0.119733	0.642063	
2667000	-77.555436	260	7.710717	1.463222	8.367280	2.772269	12.026824	17.972516	2.471564	3.451529	0.216751	0.111351	0.122183	0.549715	0.001276	0.002943	0.068925	0.926856	0.003475	0.006728	0.080857	0.908941	0.003963	0.007524	0.083686	0.904827	0.032703	0.037549	0.142123	0.787626	
2668000	-75.159986	868	3.153107	1.502228	8.404450	4.739323	6.100277	11.042004	1.608245	3.834156	0.237900	0.120941	0.121861	0.519298	0.001378	0.009207	0.073912	0.915504	0.002616	0.013011	0.077426	0.906946	0.005668	0.021242	0.089881	0.883209	0.052035	0.084296	0.154499	0.709169	
2669000	-74.062315	132	3.253916	0.104087	10.101062	3.172342	4.144787	15.412896	2.838462	2.616516	0.177461	0.102487	0.133616	0.586436	0.000353	0.005072	0.142327	0.852248	0.000056	0.002038	0.127997	0.869909	0.007654	0.033824	0.159297	0.799224	0.021602	0.062362	0.178752	0.737283	
2670000	-76.354509	247	3.481603	2.121518	12.088635	20.587615	7.122452	8.903237	7.439909	1.798914	0.231896	0.121219	0.120669	0.526217	0.031366	0.104767	0.080658	0.783209	0.018779	0.094146	0.066915	0.820160	0.030973	0.106544	0.076432	0.786050	0.093045	0.134827	0.107017	0.665110	
2671000	-77.006475	419	3.699361	7.499399	12.643390	10.926967	19.453577	5.078285	5.460411	1.392939	0.229510	0.120120	0.116195	0.534174	0.016434	0.062618	0.019141	0.901807	0.017086	0.063499	0.020623	0.898791	0.047727	0.087989	0.040932	0.823352	0.093795	0.112290	0.068414	0.725501	
2672000	-74.415690	642	1.350430	1.738311	8.993487	6.412908	0.914717	9.107829	4.477312	2.505684	0.260674	0.126190	0.113355	0.499781	0.002093	0.011473	0.235947	0.750487	0.017357	0.027268	0.255822	0.699554	0.040460	0.048137	0.224903	0.686500	0.152689	0.108680	0.142947	0.595684	
2673000	-75.083633	695	1.918754	2.076724	12.228158	2.539424	5.026981	5.250430	2.383947	1.766343	0.192413	0.100895	0.122491	0.584201	0.002428	0.005413	0.046128	0.946031	0.002512	0.005887	0.045716	0.945885	0.003709	0.008342	0.049556	0.938393	0.019550	0.034354	0.085128	0.860968	
2674000	-78.255984	439	8.621717	3.872011	15.274855	1.597685	7.849869	4.162733	2.897317	1.380480	0.185116	0.092921	0.112881	0.609082	0.000655	0.000849	0.010055	0.988442	0.001433	0.002483	0.015212	0.980871	0.005638	0.006177	0.027461	0.960724	0.042365	0.032526	0.074563	0.850545	
2675000	-76.642195	546	3.054830	0.315742	8.929887	38.696091	7.793921	23.077104	2.977169	7.105684	0.255827	0.120014	0.120585	0.503574	0.013313	0.131020	0.111637	0.744029	0.018417	0.132537	0.113916	0.735131	0.033686	0.137108	0.122169	0.707036	0.122303	0.151767	0.149210	0.576720	
2676000	-79.076420	270	13.067816	21.603082	20.505210	36.709137	21.708734	11.059948	14.163055	3.315550	0.242420	0.121212	0.121210	0.515157	0.234576	0.121656	0.117682	0.526087	0.236391	0.121558	0.118501	0.523550	0.239804	0.121364	0.120035	0.518797	0.240963	0.121298	0.120556	0.517183	
2677000	-73.218598	474	0.795863	2.741781	8.388101	1.412009	9.973773	14.976556	1.634010	2.403160	0.241979	0.119293	0.122064	0.516664	0.002678	0.001446	0.071588	0.924288	0.002851	0.001678	0.069292	0.926179	0.026119	0.012907	0.110974	0.849999	0.089811	0.042897	0.165960	0.701332	
2678000	-74.883699	330	19.114519	0.007068	44.656045	2.619158	16.879888	2.162233	0.327112	2.752342	0.167599	0.087117	0.090940	0.654344	0.000549	0.001238	0.001875	0.996339	0.000232	0.001016	0.001286	0.997467	0.004360	0.005538	0.007504	0.982598	0.027177	0.031476	0.037194	0.904153	
2679000	-77.457210	884	1.866643	3.088972	2.523704	26.185861	13.282895	12.028162	9.623746	5.601179	0.238350	0.122143	0.120568	0.518939	0.017379	0.186474	0.046698	0.749449	0.018812	0.186065	0.048413	0.746709	0.059356	0.168578	0.082087	0.689980	0.131205	0.145817	0.112047	0.610931	
2680000	-77.357357	735	16.470299	0.770410	39.261933	3.858439	0.330007	5.656356	3.575239	1.820950	0.221684	0.111892	0.125147	0.541277	0.002509	0.004139	0.122810	0.870542	0.004403	0.004882	0.258505	0.732210	0.017177	0.013412	0.228704	0.740707	0.061584	0.044816	0.123539	0.770062	
2681000	-75.208820	835	4.421602	0.430982	28.355765	1.262652	2.308345	9.238069	2.859709	1.561411	0.154868	0.079472	0.148092	0.617568	0.000092	0.000163	0.226310	0.773435	0.000273	0.000339	0.245246	0.754142	0.000791	0.000837	0.227639	0.770733	0.016278	0.014741	0.203517	0.765464	
2682000	-77.174852	841	4.841767	2.128636	4.885068	7.418740	17.652848	2.854952	1.712823	3.995315	0.224169	0.124157	0.111250	0.540423	0.018083	0.090991	0.010126	0.880799	0.023692	0.094649	0.013685	0.867974	0.031002	0.100472	0.017573	0.850952	0.078093	0.114745	0.043416	0.763745	
2683000	-81.092874	267	12.819515	18.067348	15.724366	14.673554	12.459574	16.767310	2.651917	6.725818	0.242480	0.121228	0.121219	0.515073	0.251468	0.124240	0.122249	0.502044	0.246281	0.122458	0.121658	0.509604	0.244608	0.121913	0.121463	0.512016	0.247340	0.122674	0.121810	0.508176	
2684000	-75.386515	521	4.253721	2.170607	11.464634	10.267146	1.479408	8.965057	4.437275	2.284428	0.245718	0.122109	0.119546	0.512627	0.041548	0.061909	0.171342	0.725201	0.040610	0.058510	0.188098	0.712783	0.057236	0.068724	0.177906	0.696134	0.148592	0.113668	0.137211	0.600529	
2685000	-75.575172	641	1.018081	0.950917	3.319469	9.741319	5.973603	5.158309	1.098681	2.303042	0.360551	0.107427	0.138819	0.393204	0.000748	0.221475	0.009770	0.768006	0.003444	0.172322	0.020299	0.803935	0.010251	0.174127	0.041401	0.774221	0.121120	0.217236	0.147159	0.514485	
2686000	-75.418299	638	9.844691	2.504412	17.041990	5.459302	7.042244	10.404275	2.953360	1.907454	0.226512	0.115236	0.122016	0.536236	0.019550	0.021075	0.096939	0.862436	0.030571	0.030255	0.101968	0.837206	0.037407	0.035450	0.105291	0.821851	0.079891	0.066274	0.126863	0.726972	
2687000	-73.856732	74	0.962647	0.425667	9.396819	2.363206	0.846403	4.944269	1.900429	2.057977	0.216944	0.120231	0.116453	0.546372	0.000035	0.001485	0.062439	0.936042	0.000113	0.002130	0.089889	0.907868	0.000436	0.005457	0.077823	0.916285	0.017458	0.080177	0.063863	0.838501	
2688000	-76.784095	852	5.831065	3.206818	17.205994	16.563178	11.572892	3.826336	5.874634	0.303063	0.235217	0.120694	0.118112	0.525977	0.059853	0.096773	0.041271	0.802104	0.036020	0.083570	0.027323	0.853087	0.034368	0.083602	0.025828	0.856202	0.117310	0.126915	0.071716	0.684059	
2689000	-74.754820	122	3.086463	0.172533	5.270916	18.168828	8.582487	10.250724	4.322376	3.272134	0.255389	0.119737	0.122761	0.502112	0.008742	0.129279	0.049382	0.812598	0.010962	0.129440	0.051993	0.807605	0.017787	0.133450	0.061225	0.787538	0.106676	0.156219	0.128417	0.608689	
2690000	-74.058903	806	0.608041	1.229333	4.745715	14.763121	5.726620	6.905088	3.598852	1.859819	0.285506	0.117087	0.126364	0.471043	0.001702	0.118269	0.042099	0.837929	0.000953	0.108747	0.034825	0.855475	0.006865	0.134708	0.063499	0.794927	0.063863	0.207247	0.165501	0.563390	
2691000	-76.567141	312	7.330491	3.598416	24.337995	15.757250	5.403656	7.855059	5.148128	0.648764	0.240445	0.120762	0.121230	0.517563	0.106637	0.083237	0.120703	0.689424	0.125342	0.091184	0.124065	0.659410	0.136783	0.094838	0.120311	0.648068	0.181235	0.109801	0.122567	0.586396	
2692000	-76.680214	398	2.046413	1.329903	6.022065	6.801531	1.989591	8.001337	3.466159	3.546143	0.275427	0.126768	0.113732	0.484074	0.002916	0.032520	0.120847	0.843717	0.005289	0.034872	0.139674	0.820165	0.053918	0.087903	0.147311	0.710868	0.114150	0.135807	0.141851	0.608192	
2693000	-78.302248	25	1.598871	0.850943	0.561384	15.756203	4.659537	12.064299	6.692759	3.691785	0.522555	0.066789	0.112997	0.297660	0.002879	0.147439	0.123701	0.725981	0.008939	0.160872	0.107167	0.723023	0.087506	0.137316	0.158880	0.616298	0.376127	0.073509	0.206382	0.343982	
2694000	-77.882612	666	0.844967	8.731656	6.496548	16.646847	9.335157	25.265265	5.148138	4.499461	0.244820	0.121168	0.121139	0.512874	0.149973	0.125582	0.123027	0.601418	0.148017	0.122199	0.122320	0.607464	0.198752	0.122878	0.123233	0.555138	0.250666	0.122415	0.122290	0.504629	
2695000	-78.291784	500	2.023289	4.172293	4.621699	3.764065	27.034463	9.977670	2.330274	1.779207	0.229614	0.119713	0.117652	0.533020	0.001898	0.013592	0.015816	0.968694	0.004747	0.020428	0.026891	0.947934	0.012503	0.033770	0.040254	0.913474	0.053630	0.068329	0.107890	0.770152	
2696000	-77.446184	305	8.664342	1.096907	8.318634	1.461018	6.333724	7.251635	1.547862	2.952046	0.195502	0.100097	0.123352	0.581050	0.000390	0.000794	0.042866	0.955950	0.000855	0.001804	0.045279	0.952062	0.002009	0.003698	0.054340	0.939953	0.026228	0.031509	0.119249	0.823014	
2697000	-77.559930	15	0.372446	2.228922	5.836318	6.548407	6.097219	1.216092	3.507665	2.233461	0.118095	0.132178	0.078893	0.670834	0.000143	0.037014	0.001656	0.961187	0.000038	0.027470	0.000808	0.971684	0.000158	0.041601	0.001872	0.956369	0.007320	0.114458	0.023601	0.854621	
2698000	-75.761681	519	4.770559	0.433722	6.411782	9.833926	6.834671	13.517296	1.117688	3.873717	0.281618	0.123456	0.120855	0.474071	0.020658	0.082522	0.099485	0.797335	0.015713	0.073184	0.093298	0.817804	0.035851	0.089976	0.108367	0.765806	0.141906	0.145101	0.155304	0.557688	
2699000	-74.703990	538	7.075602	1.636981	27.403250	1.710885	7.934675	12.825683	2.183700	1.633480	0.204646	0.102949	0.124728	0.567677	0.002155	0.001720	0.084319	0.911806	0.001322	0.001303	0.073437	0.923939	0.005738	0.005101	0.090924	0.898238	0.049698	0.033869	0.150631	0.765802	
2700000	-76.154306	999	1.477002	2.797932	18.841038	3.042075	3.705889	10.983376	2.512857	3.838427	0.237382	0.118818	0.122344	0.521456	0.002421	0.002116	0.116540	0.878922	0.004975	0.004311	0.121553	0.869161	0.031747	0.023712	0.137417	0.807124	0.103756	0.062763	0.145121	0.688361	
2701000	-77.023717	262	4.690580	7.717273	6.231956	25.574646	20.929838	1.364537	4.329976	2.181897	0.234621	0.123038	0.116423	0.525918	0.063048	0.154521	0.021943	0.760487	0.042416	0.152880	0.013598	0.791107	0.053390	0.154426	0.017658	0.774526	0.116705	0.155701	0.042692	0.684901	
2702000	-74.663070	313	2.511039	0.406959	5.938686	7.266761	7.973705	13.362093	1.682638	2.856120	0.248623	0.122410	0.121605	0.507362	0.003351	0.047559	0.081490	0.867600	0.002090	0.038379	0.071550	0.887981	0.009982	0.063713	0.096504	0.829800	0.051788	0.131392	0.178637	0.638183	
2703000	-75.311092	178	2.712892	2.155072	9.282260	5.063191	6.654205	8.014540	1.808195	1.295878	0.259560	0.125950	0.122475	0.492014	0.004665	0.016361	0.064812	0.914162	0.003537	0.014331	0.057296	0.924836	0.008962	0.028767	0.073804	0.888467	0.053986	0.098834	0.155699	0.691481	
2704000	-81.922197	221	2.248580	0.640838	3.502872	15.538048	6.475878	4.570448	3.153255	7.572135	0.243103	0.122144	0.120085	0.514667	0.019492	0.269705	0.022159	0.688644	0.021903	0.256327	0.024823	0.696946	0.029714	0.249554	0.028712	0.692020	0.103418	0.209467	0.058149	0.628966	
2705000	-75.392731	941	3.354169	1.075948	3.499811	11.532198	5.684476	4.698268	2.269943	2.584732	0.286729	0.114825	0.131892	0.466554	0.016222	0.168217	0.022964	0.792597	0.031018	0.152942	0.034077	0.781963	0.047634	0.155906	0.044828	0.751632	0.176859	0.164562	0.102228	0.556352	
2706000	-77.402813	502	4.927665	7.039097	20.078460	2.244145	6.189363	9.049024	2.193006	0.723766	0.250764	0.125941	0.121210	0.502085	0.076966	0.027537	0.133088	0.762409	0.082439	0.030060	0.131103	0.756398	0.092744	0.036620	0.123004	0.747631	0.181252	0.079892	0.137788	0.601067	
2707000	-80.326844	318	0.448471	4.292172	7.520531	12.736824	4.281433	4.986028	3.379640	0.095466	0.345416	0.121182	0.133749	0.399653	0.040058	0.128905	0.177253	0.653784	0.040058	0.128905	0.177253	0.653784	0.055726	0.124460	0.155633	0.664181	0.252425	0.180253	0.243850	0.323472	
2708000	-75.807746	248	1.857767	2.076780	7.307885	8.555644	5.938569	30.414470	3.330726	8.108326	0.250190	0.122209	0.120055	0.507546	0.008902	0.043586	0.150585	0.796927	0.018060	0.054267	0.153050	0.774623	0.048039	0.080102	0.153220	0.718638	0.147539	0.121898	0.144969	0.585593	
2709000	-75.290802	957	3.057825	0.238060	8.993645	5.565769	9.947087	18.026376	1.590035	3.168240	0.219677	0.119622	0.122909	0.537793	0.000415	0.011101	0.070888	0.917596	0.000970	0.016735	0.082551	0.899745	0.004105	0.033404	0.110316	0.852176	0.034974	0.102092	0.185838	0.677096	
2710000	-84.955653	221	5.186187	29.071855	7.628117	0.336897	18.416764	22.343707	1.204117	2.774065	0.244697	0.141681	0.118652	0.494970	0.301441	0.131570	0.131933	0.435057	0.285084	0.113642	0.132094	0.469179	0.279270	0.111086	0.131210	0.478433	0.278769	0.199459	0.116263	0.405509	
2711000	-75.616922	625	3.662100	9.104765	15.618659	5.828620	6.750413	9.855997	3.679296	0.590028	0.242646	0.121317	0.121212	0.514824	0.119864	0.062639	0.121814	0.695683	0.154398	0.077989	0.123858	0.643755	0.186243	0.093489	0.124516	0.595752	0.216625	0.108990	0.123515	0.550870	
2712000	-72.909036	294	1.963020	0.141531	8.616423	1.996706	1.186855	12.314567	2.737933	2.696887	0.160783	0.100183	0.141089	0.597945	0.000441	0.003435	0.228751	0.767373	0.000174	0.001873	0.251831	0.746122	0.000888	0.006111	0.230350	0.762652	0.026213	0.057393	0.178143	0.738251	
2713000	-76.165194	176	3.710884	2.259666	10.117755	5.017682	4.553570	6.178252	3.869117	0.968678	0.225021	0.116658	0.122104	0.536217	0.005603	0.015667	0.078096	0.900634	0.007598	0.018413	0.088545	0.885445	0.012830	0.027278	0.088248	0.871644	0.093583	0.089590	0.121969	0.694859	
2714000	-76.519422	235	2.357410	1.895782	15.272476	1.756976	2.443360	18.763029	2.825086	1.241130	0.224221	0.111880	0.126690	0.537208	0.021364	0.009459	0.199679	0.769498	0.006656	0.002838	0.206044	0.784462	0.021110	0.009415	0.195383	0.774092	0.078074	0.035754	0.172675	0.713498	
2715000	-75.410694	968	14.354863	1.334178	36.380075	2.817175	11.457411	1.673030	1.769674	1.209709	0.181772	0.094451	0.096804	0.626973	0.000394	0.001356	0.001311	0.996940	0.000459	0.001972	0.001653	0.995916	0.004438	0.007313	0.006937	0.981311	0.023607	0.034963	0.030428	0.911003	
2716000	-75.510849	785	0.434405	0.434087	6.870757	1.613339	3.759039	11.989429	2.694359	1.412504	0.169095	0.101675	0.135638	0.593593	0.000032	0.000446	0.124376	0.875146	0.000114	0.000788	0.126722	0.872376	0.001034	0.004857	0.144849	0.849260	0.020796	0.039511	0.200742	0.738952	
2717000	-75.440987	864	5.506971	1.764431	8.327327	15.180700	6.294276	4.301689	2.689033	2.580623	0.246016	0.121043	0.122512	0.510428	0.062607	0.124682	0.040295	0.772416	0.052027	0.117557	0.036327	0.794090	0.080915	0.125311	0.049904	0.743869	0.186278	0.137568	0.094362	0.581791	
2718000	-75.797375	20	8.534141	0.549638	18.348273	3.253279	11.496951	1.546876	1.841410	2.440172	0.170099	0.094202	0.088802	0.646896	0.001736	0.006433	0.002829	0.989003	0.000877	0.004549	0.001937	0.992638	0.001039	0.006004	0.002623	0.990334	0.014821	0.037738	0.021175	0.926266	
2719000	-73.657433	702	0.312184	0.076473	4.104408	8.856576	4.764575	1.944866	3.137675	1.106802	0.158778	0.135899	0.128800	0.576523	0.000127	0.070257	0.006358	0.923257	0.000036	0.067096	0.003847	0.929021	0.000266	0.090683	0.008005	0.901046	0.017326	0.221032	0.072663	0.688978	
