Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-iroquois-uni.localresidence.bttrees
Data File Name:                  ./data/austronesian-iroquois-uni.localresidence.btdata
Log File Name:                   ./output/austronesian-iroquois-uni.localresidence-indep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4150491628
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-iroquois-uni.localresidence-indep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.488095,0.345238,0.047619,0.119048)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000085
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       84
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
49000	-88.134001	18	1	1	'Z 0 0 0 	0.000000	5.313387	5.313387	5.313387	0.000000	0.000000	0.273704	0.726296	
50000	-86.616006	943	1	1	'Z 0 0 0 	0.000000	4.381110	4.381110	4.381110	0.000000	0.000000	0.256511	0.743489	
51000	-88.155159	210	1	1	'Z 0 0 0 	0.000000	4.592872	4.592872	4.592872	0.000000	0.000000	0.260644	0.739356	
52000	-87.689152	38	1	1	'Z 0 0 0 	0.000000	4.540276	4.540276	4.540276	0.000000	0.000000	0.259561	0.740439	
53000	-88.259756	290	1	1	'Z 0 0 0 	0.000000	4.509134	4.509134	4.509134	0.000000	0.000000	0.259577	0.740423	
54000	-87.039212	90	1	1	'Z 0 0 0 	0.000000	3.943354	3.943354	3.943354	0.000000	0.000000	0.243166	0.756834	
55000	-88.309482	844	1	1	'Z 0 0 0 	0.000000	4.977652	4.977652	4.977652	0.000000	0.000000	0.265234	0.734766	
56000	-87.491649	161	1	1	'Z 0 0 0 	0.000000	4.704083	4.704083	4.704083	0.000000	0.000000	0.266415	0.733585	
57000	-88.913662	346	1	1	'Z 0 0 0 	0.000000	5.797410	5.797410	5.797410	0.000000	0.000000	0.276550	0.723450	
58000	-87.699670	66	1	1	'Z 0 0 0 	0.000000	4.332589	4.332589	4.332589	0.000000	0.000000	0.255935	0.744065	
59000	-87.213490	145	1	1	'Z 0 0 0 	0.000000	3.771862	3.771862	3.771862	0.000000	0.000000	0.240895	0.759105	
60000	-88.249214	255	1	1	'Z 0 0 0 	0.000000	4.396232	4.396232	4.396232	0.000000	0.000000	0.266243	0.733757	
61000	-88.267503	612	1	1	'Z 0 0 0 	0.000000	4.567894	4.567894	4.567894	0.000000	0.000000	0.256564	0.743436	
62000	-87.536416	972	1	1	'Z 0 0 0 	0.000000	3.937722	3.937722	3.937722	0.000000	0.000000	0.251760	0.748240	
63000	-87.742158	709	1	1	'Z 0 0 0 	0.000000	3.953342	3.953342	3.953342	0.000000	0.000000	0.251560	0.748440	
64000	-87.298543	529	1	1	'Z 0 0 0 	0.000000	4.083261	4.083261	4.083261	0.000000	0.000000	0.248213	0.751787	
65000	-87.878414	339	1	1	'Z 0 0 0 	0.000000	4.963522	4.963522	4.963522	0.000000	0.000000	0.267147	0.732853	
66000	-88.198348	964	1	1	'Z 0 0 0 	0.000000	3.569501	3.569501	3.569501	0.000000	0.000000	0.249793	0.750207	
67000	-87.996600	215	1	1	'Z 0 0 0 	0.000000	4.765949	4.765949	4.765949	0.000000	0.000000	0.265630	0.734370	
68000	-87.203731	97	1	1	'Z 0 0 0 	0.000000	4.115295	4.115295	4.115295	0.000000	0.000000	0.256132	0.743868	
69000	-87.553432	642	1	1	'Z 0 0 0 	0.000000	3.752021	3.752021	3.752021	0.000000	0.000000	0.232138	0.767862	
70000	-87.840281	159	1	1	'Z 0 0 0 	0.000000	4.732988	4.732988	4.732988	0.000000	0.000000	0.257961	0.742039	
71000	-88.153944	999	1	1	'Z 0 0 0 	0.000000	3.588408	3.588408	3.588408	0.000000	0.000000	0.229922	0.770078	
72000	-88.370139	804	1	1	'Z 0 0 0 	0.000000	3.060463	3.060463	3.060463	0.000000	0.000000	0.212755	0.787245	
73000	-88.221857	947	1	1	'Z 0 0 0 	0.000000	5.066902	5.066902	5.066902	0.000000	0.000000	0.268267	0.731733	
74000	-88.169358	432	1	1	'Z 0 0 0 	0.000000	3.827613	3.827613	3.827613	0.000000	0.000000	0.257433	0.742567	
75000	-87.493734	753	1	1	'Z 0 0 0 	0.000000	4.424390	4.424390	4.424390	0.000000	0.000000	0.259843	0.740157	
76000	-88.691932	184	1	1	'Z 0 0 0 	0.000000	5.038886	5.038886	5.038886	0.000000	0.000000	0.269965	0.730035	
77000	-87.484590	423	1	1	'Z 0 0 0 	0.000000	3.970129	3.970129	3.970129	0.000000	0.000000	0.252272	0.747728	
78000	-88.160503	816	1	1	'Z 0 0 0 	0.000000	4.756733	4.756733	4.756733	0.000000	0.000000	0.267094	0.732906	
79000	-87.396879	4	1	1	'Z 0 0 0 	0.000000	4.268631	4.268631	4.268631	0.000000	0.000000	0.256798	0.743202	
80000	-87.829680	471	1	1	'Z 0 0 0 	0.000000	4.285847	4.285847	4.285847	0.000000	0.000000	0.262955	0.737045	
81000	-88.608275	727	2	0	'1 0 0 0 	0.527491	6.139335	6.139335	6.139335	0.329684	0.236570	0.122658	0.311088	
82000	-90.661888	427	1	0	'0 0 0 0 	1.626337	1.626337	1.626337	1.626337	0.470320	0.516378	0.002726	0.010577	
83000	-92.378637	816	1	0	'0 0 0 0 	1.974025	1.974025	1.974025	1.974025	0.464891	0.524497	0.002128	0.008485	
84000	-90.423380	417	1	0	'0 0 0 0 	1.767265	1.767265	1.767265	1.767265	0.461732	0.532645	0.001108	0.004516	
85000	-87.621692	546	2	0	'0 1 1 1 	0.487470	3.305775	3.305775	3.305775	0.412745	0.448930	0.028554	0.109771	
86000	-87.922067	701	2	0	'0 1 1 1 	0.043256	3.658004	3.658004	3.658004	0.130893	0.124876	0.170227	0.574004	
87000	-92.344753	286	1	0	'0 0 0 0 	1.133806	1.133806	1.133806	1.133806	0.565524	0.430341	0.001121	0.003014	
88000	-91.212533	207	1	0	'0 0 0 0 	1.411552	1.411552	1.411552	1.411552	0.500492	0.495244	0.000948	0.003315	
89000	-90.631135	289	1	0	'0 0 0 0 	1.803333	1.803333	1.803333	1.803333	0.453744	0.537479	0.001692	0.007085	
90000	-89.778275	46	2	0	'1 0 1 1 	1.472635	6.739454	1.472635	1.472635	0.321821	0.438689	0.041164	0.198327	
91000	-87.911829	156	2	0	'0 1 1 1 	0.365998	4.837996	4.837996	4.837996	0.327284	0.249299	0.114676	0.308741	
92000	-90.734501	601	1	0	'0 0 0 0 	1.299359	1.299359	1.299359	1.299359	0.544071	0.454228	0.000431	0.001271	
93000	-89.932606	47	2	0	'0 1 1 1 	0.729556	1.497698	1.497698	1.497698	0.552338	0.443279	0.001142	0.003241	
94000	-90.784059	900	1	0	'0 0 0 0 	1.909579	1.909579	1.909579	1.909579	0.494398	0.487755	0.003978	0.013870	
95000	-88.463489	693	2	0	'0 1 1 1 	1.585128	4.662676	4.662676	4.662676	0.503485	0.388935	0.028839	0.078741	
96000	-87.793982	817	2	0	'0 1 1 1 	1.509666	3.801308	3.801308	3.801308	0.496518	0.458476	0.010556	0.034451	
97000	-89.525180	943	2	0	'1 0 0 0 	1.283895	7.521427	7.521427	7.521427	0.433428	0.308017	0.073625	0.184930	
98000	-92.556480	522	1	0	'0 0 0 0 	2.188818	2.188818	2.188818	2.188818	0.436521	0.544754	0.003461	0.015264	
99000	-91.499207	218	1	0	'0 0 0 0 	1.924236	1.924236	1.924236	1.924236	0.498207	0.489633	0.002718	0.009442	
