Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/bantu-hawaiian-absenceofcousinmarriage.preference.bttrees
Data File Name:                  ./data/bantu-hawaiian-absenceofcousinmarriage.preference.btdata
Log File Name:                   ./output/bantu-hawaiian-absenceofcousinmarriage.preference-indep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4088855373
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-hawaiian-absenceofcousinmarriage.preference-indep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.727273,0.136364,0.136364,0.000000)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       66
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
49000	-53.126882	253	1	0	'0 0 0 0 	0.536733	0.536733	0.536733	0.536733	0.899456	0.009654	0.090889	0.000000	
50000	-53.349507	758	1	0	'0 0 0 0 	0.509848	0.509848	0.509848	0.509848	0.914656	0.005424	0.079920	0.000000	
51000	-51.874425	94	1	0	'0 0 0 0 	0.975314	0.975314	0.975314	0.975314	0.889349	0.024965	0.085686	0.000000	
52000	-51.957920	283	1	0	'0 0 0 0 	0.758279	0.758279	0.758279	0.758279	0.889543	0.022443	0.088014	0.000000	
53000	-51.504918	423	1	0	'0 0 0 0 	0.620133	0.620133	0.620133	0.620133	0.910077	0.007214	0.082709	0.000000	
54000	-52.207810	44	1	0	'0 0 0 0 	0.909557	0.909557	0.909557	0.909557	0.877619	0.027373	0.095008	0.000000	
55000	-52.266648	342	1	0	'0 0 0 0 	0.487330	0.487330	0.487330	0.487330	0.909131	0.008021	0.082848	0.000000	
56000	-53.025883	34	1	0	'0 0 0 0 	0.870189	0.870189	0.870189	0.870189	0.897799	0.022405	0.079795	0.000000	
57000	-51.288294	578	1	0	'0 0 0 0 	0.745794	0.745794	0.745794	0.745794	0.913895	0.011630	0.074476	0.000000	
58000	-51.957987	498	1	0	'0 0 0 0 	0.786678	0.786678	0.786678	0.786678	0.908765	0.016785	0.074450	0.000000	
59000	-51.934133	655	1	0	'0 0 0 0 	0.988562	0.988562	0.988562	0.988562	0.910767	0.018786	0.070447	0.000000	
60000	-52.804820	481	1	0	'0 0 0 0 	0.922607	0.922607	0.922607	0.922607	0.888450	0.023085	0.088465	0.000000	
61000	-51.588301	116	1	0	'0 0 0 0 	0.714020	0.714020	0.714020	0.714020	0.913496	0.011955	0.074549	0.000000	
62000	-50.978718	847	1	0	'0 0 0 0 	0.656430	0.656430	0.656430	0.656430	0.911154	0.010799	0.078047	0.000000	
63000	-51.433049	180	1	0	'0 0 0 0 	0.647981	0.647981	0.647981	0.647981	0.896412	0.016773	0.086815	0.000000	
64000	-52.243737	313	1	0	'0 0 0 0 	0.773031	0.773031	0.773031	0.773031	0.893332	0.022588	0.084079	0.000000	
65000	-51.256488	577	1	0	'0 0 0 0 	0.686603	0.686603	0.686603	0.686603	0.907027	0.013587	0.079387	0.000000	
66000	-51.223926	965	1	0	'0 0 0 0 	0.624672	0.624672	0.624672	0.624672	0.923509	0.009627	0.066864	0.000000	
67000	-51.539480	148	2	0	'0 0 0 1 	0.941762	0.941762	0.941762	0.588184	0.909925	0.010501	0.079574	0.000000	
68000	-52.282170	344	1	0	'0 0 0 0 	0.491836	0.491836	0.491836	0.491836	0.910991	0.004909	0.084100	0.000000	
69000	-52.235165	794	1	0	'0 0 0 0 	0.735564	0.735564	0.735564	0.735564	0.914975	0.010898	0.074128	0.000000	
70000	-53.189890	390	1	0	'0 0 0 0 	0.448833	0.448833	0.448833	0.448833	0.920343	0.005785	0.073871	0.000000	
71000	-52.313075	966	1	0	'0 0 0 0 	0.813879	0.813879	0.813879	0.813879	0.899136	0.017344	0.083520	0.000000	
72000	-50.971646	159	1	0	'0 0 0 0 	0.709895	0.709895	0.709895	0.709895	0.907411	0.012042	0.080547	0.000000	
73000	-51.667974	587	1	0	'0 0 0 0 	0.804171	0.804171	0.804171	0.804171	0.887529	0.016259	0.096213	0.000000	
74000	-52.504586	966	1	0	'0 0 0 0 	0.885156	0.885156	0.885156	0.885156	0.895570	0.020154	0.084277	0.000000	
75000	-54.174543	109	1	0	'0 0 0 0 	0.397911	0.397911	0.397911	0.397911	0.899699	0.004070	0.096231	0.000000	
76000	-51.059672	164	1	0	'0 0 0 0 	0.804627	0.804627	0.804627	0.804627	0.868080	0.018917	0.113003	0.000000	
77000	-53.204782	14	1	0	'0 0 0 0 	0.975819	0.975819	0.975819	0.975819	0.875069	0.030633	0.094297	0.000000	
78000	-53.277036	955	1	0	'0 0 0 0 	0.631319	0.631319	0.631319	0.631319	0.901467	0.008469	0.090064	0.000000	
79000	-51.462412	982	1	0	'0 0 0 0 	0.841468	0.841468	0.841468	0.841468	0.902860	0.017253	0.079887	0.000000	
80000	-51.731515	730	1	0	'0 0 0 0 	0.738428	0.738428	0.738428	0.738428	0.892620	0.011324	0.096056	0.000000	
81000	-52.094024	367	1	0	'0 0 0 0 	0.943980	0.943980	0.943980	0.943980	0.908605	0.020773	0.070622	0.000000	
82000	-51.895227	255	1	0	'0 0 0 0 	0.598672	0.598672	0.598672	0.598672	0.923158	0.007543	0.069300	0.000000	
83000	-51.330051	209	1	0	'0 0 0 0 	0.749582	0.749582	0.749582	0.749582	0.887072	0.012557	0.100372	0.000000	
84000	-52.871068	207	1	0	'0 0 0 0 	1.243226	1.243226	1.243226	1.243226	0.879198	0.030319	0.090484	0.000000	
85000	-50.894428	383	1	0	'0 0 0 0 	0.811522	0.811522	0.811522	0.811522	0.910962	0.015284	0.073754	0.000000	
86000	-51.478811	980	1	0	'0 0 0 0 	0.630209	0.630209	0.630209	0.630209	0.928672	0.008228	0.063101	0.000000	
87000	-53.854089	100	1	0	'0 0 0 0 	1.047502	1.047502	1.047502	1.047502	0.875909	0.031012	0.093078	0.000000	
88000	-52.073957	658	1	0	'0 0 0 0 	0.754140	0.754140	0.754140	0.754140	0.901978	0.010864	0.087157	0.000000	
89000	-51.974667	706	1	0	'0 0 0 0 	0.829827	0.829827	0.829827	0.829827	0.896843	0.021670	0.081486	0.000000	
90000	-50.530524	264	1	0	'0 0 0 0 	0.728836	0.728836	0.728836	0.728836	0.923918	0.010310	0.065772	0.000000	
91000	-53.720846	281	1	0	'0 0 0 0 	0.943401	0.943401	0.943401	0.943401	0.872283	0.028876	0.098842	0.000000	
92000	-53.364268	920	1	0	'0 0 0 0 	1.047272	1.047272	1.047272	1.047272	0.903242	0.022205	0.074553	0.000000	
93000	-52.752416	576	1	0	'0 0 0 0 	0.476343	0.476343	0.476343	0.476343	0.926768	0.004189	0.069043	0.000000	
94000	-51.005424	847	1	0	'0 0 0 0 	0.756894	0.756894	0.756894	0.756894	0.906963	0.014137	0.078900	0.000000	
95000	-51.967097	445	1	0	'0 0 0 0 	0.985043	0.985043	0.985043	0.985043	0.898667	0.019772	0.081562	0.000000	
96000	-53.232772	14	1	0	'0 0 0 0 	0.491630	0.491630	0.491630	0.491630	0.900832	0.008836	0.090332	0.000000	
97000	-51.827919	604	1	0	'0 0 0 0 	0.580144	0.580144	0.580144	0.580144	0.922495	0.008227	0.069278	0.000000	
98000	-52.055180	642	1	0	'0 0 0 0 	0.833315	0.833315	0.833315	0.833315	0.903150	0.015992	0.080858	0.000000	
99000	-52.702388	289	1	0	'0 0 0 0 	0.516428	0.516428	0.516428	0.516428	0.930214	0.006163	0.063623	0.000000	
100000	-51.958126	888	1	0	'0 0 0 0 	0.530682	0.530682	0.530682	0.530682	0.900988	0.011449	0.087562	0.000000	
101000	-52.998999	849	1	0	'0 0 0 0 	0.963858	0.963858	0.963858	0.963858	0.890827	0.022191	0.086982	0.000000	
102000	-52.040547	103	1	0	'0 0 0 0 	0.590709	0.590709	0.590709	0.590709	0.899348	0.011128	0.089524	0.000000	
103000	-51.686664	317	1	0	'0 0 0 0 	0.680562	0.680562	0.680562	0.680562	0.902116	0.012358	0.085526	0.000000	
104000	-53.193623	838	1	0	'0 0 0 0 	0.437202	0.437202	0.437202	0.437202	0.925562	0.005162	0.069276	0.000000	
105000	-51.797179	797	1	0	'0 0 0 0 	0.697861	0.697861	0.697861	0.697861	0.897612	0.014643	0.087745	0.000000	
