Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/austronesian-hawaiian-bi.linealdescent.bttrees
Data File Name:                  ./data/austronesian-hawaiian-bi.linealdescent.btdata
Log File Name:                   ./output/austronesian-hawaiian-bi.linealdescent-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1036613880
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-hawaiian-bi.linealdescent-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.341176,0.094118,0.247059,0.317647)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000086
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       85
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-108.607035	101	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	6.289077	6.289077	6.289077	6.289077	6.289077	6.289077	6.289077	0.279156	0.100825	0.252452	0.367568	
12000	-110.257794	444	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	2.850207	2.850207	2.850207	2.850207	2.850207	2.850207	2.850207	0.073280	0.154586	0.268100	0.504035	
13000	-110.036601	635	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	6.602841	6.602841	6.602841	6.602841	6.602841	6.602841	6.602841	0.290318	0.099217	0.252106	0.358359	
14000	-109.253998	527	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	6.899429	6.899429	6.899429	6.899429	6.899429	6.899429	6.899429	0.290807	0.099486	0.252267	0.357439	
15000	-110.574222	407	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	3.393601	3.393601	3.393601	3.393601	3.393601	3.393601	3.393601	0.128914	0.133889	0.262757	0.474440	
16000	-109.916335	599	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	4.349352	4.349352	4.349352	4.349352	4.349352	4.349352	4.349352	0.186503	0.116954	0.260861	0.435682	
17000	-108.360010	841	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	4.640846	4.640846	4.640846	4.640846	4.640846	4.640846	4.640846	0.198012	0.116010	0.257399	0.428579	
18000	-108.492884	794	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	4.433434	4.433434	4.433434	4.433434	4.433434	4.433434	4.433434	0.160487	0.128440	0.259662	0.451411	
19000	-109.299226	320	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	6.410568	6.410568	6.410568	6.410568	6.410568	6.410568	6.410568	0.266443	0.102505	0.253951	0.377100	
20000	-112.042094	668	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	6.338632	0.000000	6.338632	6.338632	6.338632	6.338632	6.338632	0.526638	0.019713	0.282364	0.171285	
21000	-108.726098	89	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	5.148267	5.148267	5.148267	5.148267	5.148267	5.148267	5.148267	0.223329	0.109710	0.256430	0.410532	
22000	-111.843695	435	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	8.548020	8.548020	8.548020	8.548020	8.548020	8.548020	8.548020	0.327300	0.095212	0.248561	0.328927	
23000	-108.689584	118	1	1	'Z 0 0 0 0 0 0 0 	D	0.000000	4.144044	4.144044	4.144044	4.144044	4.144044	4.144044	4.144044	0.154987	0.132414	0.266888	0.445711	
