Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/bantu-iroquois-exogamy.unilineal.descent.bttrees
Data File Name:                  ./data/bantu-iroquois-exogamy.unilineal.descent.btdata
Log File Name:                   ./output/bantu-iroquois-exogamy.unilineal.descent-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2838724144
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/bantu-iroquois-exogamy.unilineal.descent-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.322581,0.048387,0.532258,0.096774)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000000
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       62
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-66.394891	248	1	3	'0 Z 0 0 0 0 Z Z 	D	1.308284	0.000000	1.308284	1.308284	1.308284	1.308284	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
12000	-68.281954	762	1	0	'0 0 0 0 0 0 0 0 	I	1.393925	1.393925	1.393925	1.393925	1.393925	1.393925	1.393925	1.393925	0.481196	0.016260	0.482771	0.019773	
13000	-68.328236	210	1	1	'0 0 0 Z 0 0 0 0 	D	1.635292	1.635292	1.635292	0.000000	1.635292	1.635292	1.635292	1.635292	0.357961	0.020491	0.581668	0.039880	
14000	-67.524380	742	1	1	'0 0 0 Z 0 0 0 0 	D	1.859990	1.859990	1.859990	0.000000	1.859990	1.859990	1.859990	1.859990	0.382113	0.022312	0.557546	0.038030	
15000	-68.908132	414	1	2	'0 0 0 0 0 0 Z Z 	D	0.881138	0.881138	0.881138	0.881138	0.881138	0.881138	0.000000	0.000000	0.688952	0.010174	0.300874	0.000000	
16000	-66.912078	133	2	1	'0 1 1 0 1 0 Z 1 	D	1.265785	4.667286	4.667286	1.265785	4.667286	1.265785	0.000000	4.667286	0.331150	0.040796	0.550096	0.077957	
17000	-67.148575	658	1	2	'0 0 0 Z 0 0 Z 0 	D	1.916065	1.916065	1.916065	0.000000	1.916065	1.916065	0.000000	1.916065	0.460356	0.027433	0.492540	0.019671	
18000	-68.382005	161	1	1	'0 0 0 0 0 0 0 Z 	D	1.527577	1.527577	1.527577	1.527577	1.527577	1.527577	1.527577	0.000000	0.447353	0.017683	0.530125	0.004838	
19000	-69.399256	912	1	3	'0 Z 0 0 0 0 Z Z 	D	1.108908	0.000000	1.108908	1.108908	1.108908	1.108908	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
20000	-68.504100	707	1	2	'0 0 0 0 0 0 Z Z 	D	1.293724	1.293724	1.293724	1.293724	1.293724	1.293724	0.000000	0.000000	0.583498	0.013256	0.403246	0.000000	
