Options:
Model:                           Discrete: Independent
Tree File Name:                  ./data/austronesian-hawaiian-bi.localresidence.bttrees
Data File Name:                  ./data/austronesian-hawaiian-bi.localresidence.btdata
Log File Name:                   ./output/austronesian-hawaiian-bi.localresidence-indep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1893169099
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/austronesian-hawaiian-bi.localresidence-indep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Base frequency (PI's):           Empirical: (0.357143,0.071429,0.488095,0.083333)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.000085
Restrictions:
    alpha1                       RJ MCMC
    beta1                        RJ MCMC
    alpha2                       RJ MCMC
    beta2                        RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       84
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	alpha1	beta1	alpha2	beta2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
49000	-93.490991	207	2	0	'1 1 1 0 	6.079780	6.079780	6.079780	36.131218	0.359725	0.071945	0.485449	0.082881	
50000	-93.845511	477	2	0	'1 1 1 0 	3.638649	3.638649	3.638649	17.224446	0.391139	0.078051	0.453549	0.077260	
51000	-94.188128	456	2	0	'1 1 1 0 	3.018699	3.018699	3.018699	14.168846	0.402660	0.079502	0.443147	0.074692	
52000	-93.856837	150	2	0	'1 1 1 0 	3.409311	3.409311	3.409311	18.384645	0.390299	0.078042	0.454140	0.077519	
53000	-93.296574	931	2	0	'1 1 1 0 	4.924374	4.924374	4.924374	28.756611	0.362516	0.072503	0.482588	0.082393	
54000	-94.044148	404	2	0	'1 1 1 0 	3.979526	3.979526	3.979526	30.969251	0.379809	0.075962	0.464862	0.079367	
55000	-97.323782	167	2	0	'1 1 1 0 	2.768507	2.768507	2.768507	9.053989	0.431249	0.071269	0.435976	0.061506	
56000	-95.015329	510	2	0	'1 1 1 0 	6.336237	6.336237	6.336237	19.700377	0.359749	0.071901	0.485514	0.082836	
57000	-94.878236	782	2	0	'1 1 1 0 	6.904558	6.904558	6.904558	54.333180	0.357331	0.071466	0.487902	0.083300	
58000	-93.119116	535	2	0	'1 1 1 0 	6.109820	6.109820	6.109820	35.354699	0.358855	0.071771	0.486340	0.083034	
59000	-93.415771	561	2	0	'1 1 1 0 	3.369997	3.369997	3.369997	17.230384	0.379749	0.075901	0.465010	0.079341	
60000	-93.293104	631	2	0	'1 1 1 0 	5.446476	5.446476	5.446476	22.809479	0.361975	0.072389	0.483153	0.082483	
61000	-93.949179	406	2	0	'1 1 1 0 	5.724941	5.724941	5.724941	22.464730	0.360354	0.072064	0.484816	0.082766	
62000	-97.366083	470	2	0	'1 1 1 0 	3.288548	3.288548	3.288548	7.376594	0.460523	0.049635	0.448570	0.041272	
63000	-94.834529	254	2	0	'1 1 1 0 	2.795609	2.795609	2.795609	13.731481	0.416680	0.082410	0.428555	0.072355	
64000	-93.476041	243	2	0	'1 1 1 0 	4.254452	4.254452	4.254452	26.245099	0.372095	0.074420	0.472768	0.080717	
65000	-94.072286	274	2	0	'1 1 1 0 	3.124104	3.124104	3.124104	18.189762	0.403746	0.080742	0.440338	0.075173	
66000	-95.694582	407	2	0	'0 0 1 0 	7.770995	7.770995	1.602604	7.770995	0.368424	0.059134	0.503460	0.068982	
67000	-94.737718	453	2	0	'0 0 1 0 	22.244159	22.244159	4.235406	22.244159	0.357152	0.071418	0.488108	0.083322	
68000	-95.423556	866	2	0	'0 0 1 0 	13.400033	13.400033	2.013009	13.400033	0.356954	0.071629	0.487848	0.083569	
69000	-95.158286	240	2	0	'1 1 0 1 	10.582788	10.582788	2.061394	10.582788	0.360132	0.068169	0.492170	0.079529	
70000	-95.254446	736	2	0	'1 1 0 1 	14.823690	14.823690	2.476958	14.823690	0.357194	0.071367	0.488176	0.083263	
71000	-98.116663	269	2	0	'1 1 0 1 	32.975286	32.975286	2.462523	32.975286	0.357141	0.071430	0.488093	0.083335	
72000	-95.303209	288	2	0	'1 1 0 1 	9.155826	9.155826	1.916185	9.155826	0.363653	0.064225	0.497167	0.074955	
73000	-94.580102	883	2	0	'1 1 0 1 	28.992053	28.992053	5.556593	28.992053	0.357143	0.071428	0.488095	0.083333	
74000	-95.535209	227	2	0	'1 1 0 1 	13.750396	13.750396	3.319141	13.750396	0.357725	0.070788	0.488900	0.082587	
75000	-95.305950	398	2	0	'1 1 0 1 	17.998951	17.998951	4.302360	17.998951	0.357238	0.071324	0.488227	0.083211	
76000	-94.723488	237	2	0	'1 1 0 1 	25.593273	25.593273	4.176610	25.593273	0.357143	0.071429	0.488095	0.083334	
77000	-95.335872	865	2	0	'1 1 0 1 	8.972691	8.972691	1.382167	8.972691	0.363042	0.064930	0.496260	0.075768	
78000	-95.327818	955	2	0	'1 1 0 1 	60.120795	60.120795	16.332419	60.120795	0.357143	0.071429	0.488095	0.083333	
79000	-94.510661	290	2	0	'1 1 0 1 	36.431471	36.431471	6.890534	36.431471	0.357143	0.071429	0.488095	0.083333	
80000	-92.709498	806	2	0	'1 1 1 0 	4.740439	4.740439	4.740439	25.589812	0.364880	0.072976	0.480165	0.081979	
81000	-93.227912	689	2	0	'1 1 1 0 	5.046493	5.046493	5.046493	25.857159	0.364098	0.072819	0.480967	0.082116	
82000	-93.127639	964	2	0	'1 1 1 0 	4.236846	4.236846	4.236846	27.234844	0.365547	0.073109	0.479481	0.081863	
83000	-93.633769	382	2	0	'1 1 1 0 	4.299698	4.299698	4.299698	22.076264	0.376880	0.075362	0.467889	0.079869	
84000	-98.266954	785	2	0	'1 1 1 0 	6.798998	6.798998	6.798998	15.931119	0.358763	0.071507	0.486888	0.082842	
85000	-94.971922	530	2	0	'1 1 1 0 	2.707293	2.707293	2.707293	12.238202	0.412231	0.080617	0.434598	0.072553	
86000	-93.358565	974	2	0	'1 1 1 0 	4.153854	4.153854	4.153854	27.895748	0.368992	0.073799	0.475949	0.081260	
87000	-93.648546	111	2	0	'1 1 1 0 	4.826419	4.826419	4.826419	20.678983	0.364662	0.072917	0.480416	0.082005	
88000	-92.870075	437	2	0	'1 1 1 0 	4.849892	4.849892	4.849892	25.929728	0.362263	0.072452	0.482848	0.082437	
89000	-94.932417	561	2	0	'1 1 1 0 	6.805116	6.805116	6.805116	21.448664	0.357728	0.071541	0.487503	0.083227	
90000	-92.327960	766	2	0	'1 1 1 0 	4.048484	4.048484	4.048484	18.783004	0.387368	0.077319	0.457380	0.077933	
91000	-93.105649	328	2	0	'1 1 1 0 	6.304595	6.304595	6.304595	32.345254	0.358438	0.071687	0.486768	0.083107	
92000	-92.963850	621	2	0	'1 1 1 0 	4.381895	4.381895	4.381895	27.407620	0.372682	0.074537	0.472168	0.080614	
93000	-92.977955	762	2	0	'1 1 1 0 	5.897257	5.897257	5.897257	27.516512	0.358254	0.071651	0.486956	0.083139	
94000	-93.154604	25	2	0	'1 1 1 0 	4.555584	4.555584	4.555584	22.716993	0.367140	0.073424	0.477856	0.081580	
95000	-93.342564	856	2	0	'1 1 1 0 	5.710079	5.710079	5.710079	27.219805	0.360120	0.072024	0.485044	0.082812	
96000	-94.587696	432	2	0	'1 1 1 0 	3.805794	3.805794	3.805794	14.509440	0.372058	0.074196	0.473192	0.080554	
97000	-96.037875	520	2	0	'1 1 1 0 	2.266131	2.266131	2.266131	16.461359	0.440191	0.088335	0.402520	0.068955	
98000	-95.003059	311	2	0	'1 1 1 0 	3.119381	3.119381	3.119381	14.943256	0.403976	0.080308	0.440895	0.074821	
99000	-93.699021	735	2	0	'1 1 1 0 	7.964642	7.964642	7.964642	33.928104	0.357196	0.071439	0.488041	0.083324	
100000	-93.264188	888	2	0	'1 1 1 0 	4.078668	4.078668	4.078668	20.918970	0.378490	0.075674	0.466256	0.079580	
101000	-93.076545	691	2	0	'1 1 1 0 	4.615151	4.615151	4.615151	24.824325	0.368359	0.073670	0.476602	0.081369	
