Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/uto-hawaiian-absenceofcousinmarriage.preference.bttrees
Data File Name:                  ./data/uto-hawaiian-absenceofcousinmarriage.preference.btdata
Log File Name:                   ./output/uto-hawaiian-absenceofcousinmarriage.preference-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4064017
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/uto-hawaiian-absenceofcousinmarriage.preference-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.263158,0.000000,0.684211,0.052632)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.104381
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       19
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
11000	-12.898577	300	1	3	'0 0 Z Z 0 0 Z 0 	D	18.103392	18.103392	0.000000	0.000000	18.103392	18.103392	0.000000	18.103392	0.038588	0.000000	0.961379	0.000033	
12000	-13.635849	127	1	2	'0 0 Z Z 0 0 0 0 	D	14.524024	14.524024	0.000000	0.000000	14.524024	14.524024	14.524024	14.524024	0.004824	0.000000	0.995161	0.000016	
13000	-13.566483	272	1	1	'0 Z 0 0 0 0 0 0 	D	25.164056	0.000000	25.164056	25.164056	25.164056	25.164056	25.164056	25.164056	0.000000	0.000000	0.999982	0.000018	
14000	-13.451465	507	1	2	'Z 0 0 0 0 0 Z 0 	D	0.000000	13.974540	13.974540	13.974540	13.974540	13.974540	0.000000	13.974540	0.026412	0.000000	0.973543	0.000044	
15000	-12.854333	701	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	23.835920	23.835920	23.835920	23.835920	23.835920	23.835920	0.000000	0.000000	0.999929	0.000071	
16000	-13.032737	770	1	3	'Z Z 0 0 0 0 0 Z 	D	0.000000	0.000000	31.589305	31.589305	31.589305	31.589305	31.589305	0.000000	0.000000	0.000000	1.000000	0.000000	
17000	-14.457695	84	1	4	'Z 0 Z 0 0 0 Z Z 	D	0.000000	8.036070	0.000000	8.036070	8.036070	8.036070	0.000000	0.000000	0.001260	0.000000	0.998740	0.000000	
18000	-15.308385	984	1	1	'0 0 0 Z 0 0 0 0 	D	5.596416	5.596416	5.596416	0.000000	5.596416	5.596416	5.596416	5.596416	0.000871	0.000000	0.999126	0.000003	
19000	-13.247660	161	1	3	'0 Z 0 0 0 0 Z Z 	D	8.754379	0.000000	8.754379	8.754379	8.754379	8.754379	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
20000	-13.541083	508	1	3	'Z 0 0 0 0 0 Z Z 	D	0.000000	16.422337	16.422337	16.422337	16.422337	16.422337	0.000000	0.000000	0.005408	0.000000	0.994592	0.000000	
