Options:
Model:                           Discrete: Dependent
Tree File Name:                  ./data/uto-hawaiian-bi.localresidence.bttrees
Data File Name:                  ./data/uto-hawaiian-bi.localresidence.btdata
Log File Name:                   ./output/uto-hawaiian-bi.localresidence-dep3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2638545886
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   ./output/uto-hawaiian-bi.localresidence-dep3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           Empirical: (0.318182,0.000000,0.590909,0.090909)
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Scale Tree:                      0.121603
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       22
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	
36000	-19.474759	387	1	3	'Z Z 0 0 0 0 0 Z 	D	0.000000	0.000000	26.026688	26.026688	26.026688	26.026688	26.026688	0.000000	0.000000	0.000000	1.000000	0.000000	
37000	-21.794383	546	1	2	'Z 0 0 0 0 0 Z 0 	D	0.000000	14.380703	14.380703	14.380703	14.380703	14.380703	0.000000	14.380703	0.012287	0.000000	0.987679	0.000034	
38000	-19.398754	23	1	4	'Z 0 Z 0 0 0 Z Z 	D	0.000000	40.511759	0.000000	40.511759	40.511759	40.511759	0.000000	0.000000	0.102352	0.000000	0.897648	0.000000	
39000	-17.991423	885	1	3	'Z Z Z 0 0 0 0 0 	D	0.000000	0.000000	0.000000	63.014954	63.014954	63.014954	63.014954	63.014954	0.000000	0.000000	0.998720	0.001280	
40000	-20.053897	901	1	2	'Z Z 0 0 0 0 0 0 	D	0.000000	0.000000	18.266999	18.266999	18.266999	18.266999	18.266999	18.266999	0.000000	0.000000	0.999786	0.000214	
41000	-19.642168	304	1	2	'0 Z 0 0 0 0 Z 0 	D	25.580292	0.000000	25.580292	25.580292	25.580292	25.580292	0.000000	25.580292	0.000000	0.000000	0.999870	0.000130	
42000	-22.711608	7	1	4	'Z 0 0 Z 0 0 Z Z 	D	0.000000	9.134493	9.134493	0.000000	9.134493	9.134493	0.000000	0.000000	0.017404	0.000000	0.982596	0.000000	
43000	-18.574155	176	1	3	'Z 0 Z Z 0 0 0 0 	D	0.000000	27.709901	0.000000	0.000000	27.709901	27.709901	27.709901	27.709901	0.019181	0.000000	0.980726	0.000093	
44000	-20.693090	635	1	1	'0 0 Z 0 0 0 0 0 	D	22.477671	22.477671	0.000000	22.477671	22.477671	22.477671	22.477671	22.477671	0.022014	0.000000	0.977834	0.000152	
45000	-20.140204	153	1	5	'Z 0 Z Z 0 0 Z Z 	D	0.000000	16.461911	0.000000	0.000000	16.461911	16.461911	0.000000	0.000000	0.021550	0.000000	0.978450	0.000000	
46000	-19.841250	176	1	1	'0 Z 0 0 0 0 0 0 	D	16.606480	0.000000	16.606480	16.606480	16.606480	16.606480	16.606480	16.606480	0.000000	0.000000	0.999965	0.000035	
47000	-21.415329	345	1	2	'0 Z 0 0 0 0 Z 0 	D	11.281389	0.000000	11.281389	11.281389	11.281389	11.281389	0.000000	11.281389	0.000000	0.000000	0.999931	0.000069	
48000	-19.716254	836	1	3	'Z 0 Z Z 0 0 0 0 	D	0.000000	17.505587	0.000000	0.000000	17.505587	17.505587	17.505587	17.505587	0.045221	0.000000	0.954665	0.000114	
49000	-18.377865	827	1	3	'Z Z 0 0 0 0 Z 0 	D	0.000000	0.000000	50.918669	50.918669	50.918669	50.918669	0.000000	50.918669	0.000000	0.000000	0.999732	0.000268	
50000	-18.153267	582	1	4	'Z Z Z 0 0 0 Z 0 	D	0.000000	0.000000	0.000000	52.497708	52.497708	52.497708	0.000000	52.497708	0.000000	0.000000	0.999482	0.000518	
51000	-21.022277	172	1	3	'Z 0 0 0 0 0 Z Z 	D	0.000000	19.686547	19.686547	19.686547	19.686547	19.686547	0.000000	0.000000	0.005950	0.000000	0.994050	0.000000	
52000	-23.388461	153	1	3	'Z 0 0 0 0 0 Z Z 	D	0.000000	6.549301	6.549301	6.549301	6.549301	6.549301	0.000000	0.000000	0.013953	0.000000	0.986047	0.000000	
53000	-19.187823	472	1	5	'Z 0 Z Z 0 0 Z Z 	D	0.000000	50.490889	0.000000	0.000000	50.490889	50.490889	0.000000	0.000000	0.119812	0.000000	0.880188	0.000000	
54000	-19.195892	642	1	3	'Z Z 0 0 0 0 0 Z 	D	0.000000	0.000000	21.115546	21.115546	21.115546	21.115546	21.115546	0.000000	0.000000	0.000000	1.000000	0.000000	
55000	-19.227450	493	1	2	'0 Z 0 0 0 0 Z 0 	D	22.156210	0.000000	22.156210	22.156210	22.156210	22.156210	0.000000	22.156210	0.000000	0.000000	0.999856	0.000144	
56000	-19.065303	542	1	4	'Z 0 Z Z 0 0 0 Z 	D	0.000000	28.343033	0.000000	0.000000	28.343033	28.343033	28.343033	0.000000	0.006914	0.000000	0.993086	0.000000	
57000	-19.412242	456	1	2	'Z 0 Z 0 0 0 0 0 	D	0.000000	37.464328	0.000000	37.464328	37.464328	37.464328	37.464328	37.464328	0.040702	0.000000	0.958984	0.000314	
